"","ID","District","Bias.Code","Bias","Victim.Type","Year"
"313",17008392,"1D","Anti-Jewish","Vandalism","School/College",2017
"314",17000839,"6D","Anti-Islamic","Written Intimidation/Simple Assault","Religious Organization",2017
"315",16054220,"1D","Anti-Jewish","Vandalism","School/College",2016
"316",180029724,"2D","Anti-Jewish","Vandalism","School/College",2018
"317",180043768,"5D","Anti-Other Religion","Verbal Intimidation/Simple Assault","Religious Organization",2018
"318",180053595,"RCPD","Anti-Homosexual","Vandalism","Individual(s)",2018
"319",190020400,"4D","Anti-Black","Vandalism","Society",2019
"320",180026302,"GCPD","Anti-Jewish","Flyer Left Behind","Individual(s)",2018
"321",190043750,"2D","Anti-Jewish","Vandalism","Individual(s)",2019
"322",200007490,"4D","Anti-Asian","Assault (physical)","Individual(s)",2020
"323",170516892,"4D","Anti-Islamic","Vandalism","Individual(s)",2017
"324",190036323,"5D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"325",180014801,"1D","Anti-Jewish","Verbal Intimidation/Simple Assault","Religious Organization",2018
"326",17016332,"RCPD","Anti-Hispanic","Assault (physical)","Individual(s)",2017
"327",180007511,"6D","Anti-Gender Non-Conforming","Verbal Intimidation/Simple Assault","Individual(s)",2018
"328",190014980,"2D","Anti-Black","Vandalism","School/College",2019
"329",190004730,"3D","Anti-Homosexual","Flyer Left Behind","Society",2019
"330",190000566,"2D","Anti-Black","Vandalism","Business/Financial Institution",2019
"331",190030991,"2D","Anti-Jewish","Vandalism","Individual(s)",2019
"332",190005702,"1D","Anti-Jewish","Vandalism","School/College",2019
"333",16061017,"6D","Anti-Jewish","Vandalism","Government",2016
"334",170547368,"GCPD","Anti-Jewish","Vandalism","School/College",2017
"335",200000206,"TPPD","Anti-Homosexual","Vandalism","Individual(s)",2020
"336",17015428,"RCPD","Anti-Hispanic","Flyer Left Behind","Society",2017
"337",180009214,"4D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Individual(s)",2018
"338",17008087,"GCPD","Anti-Jewish","Vandalism","School/College",2017
"339",16014473,"2D","Anti-Jewish","Flyer Left Behind","Other",2016
"340",17015199,"4D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Society",2017
"341",190038025,"RCPD","Anti-Black","Written Intimidation/Simple Assault","Society",2019
"342",190024385,"4D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2019
"343",16065935,"1D","Anti-Jewish","Vandalism","Government",2016
"344",170514039,"6D","Anti-Homosexual","Vandalism","Society",2017
"345",16064888,"2D","Anti-Jewish","Flyer Left Behind","Individual(s)",2016
"346",180040116,"3D","Anti-Other Religion","Vandalism","Religious Organization",2018
"347",180056319,"4D","Anti-Homosexual","Verbal Intimidation/Simple Assault","Individual(s)",2018
"348",180000185,"5D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2018
"349",170501371,"RCPD","Anti-Multi-Racial","Flyer Left Behind","Society",2017
"350",180030512,"RCPD","Anti-Jewish","Written Intimidation/Simple Assault","Religious Organization",2018
"351",190006227,"RCPD","Anti-Jewish","Vandalism","Society",2019
"352",180054345,"4D","Anti-Jewish","Vandalism","Individual(s)",2018
"353",16055886,"2D","Anti-Jewish","Vandalism","School/College",2016
"354",16019185,"5D","Anti-Multi-Racial","Flyer Left Behind","Individual(s)",2016
"355",200007845,"TPPD","Anti-White","Vandalism","Society",2020
"356",17016198,"5D","Anti-White","Assault (physical)","Individual(s)",2017
"357",170513635,"2D","Anti-Black","Display of Noose","Individual(s)",2017
"358",16020705,"2D","Anti-Multi-Religious Group","Vandalism","Government",2016
"359",170511952,"3D","Anti-Islamic","Written Intimidation/Simple Assault","Individual(s)",2017
"360",190013251,"6D","Anti-Islamic","Assault (physical)","Individual(s)",2019
"361",180023060,"TPPD","Anti-Transgender","Assault (physical)","Individual(s)",2018
"362",16065495,"3D","Anti-White","Vandalism","School/College",2016
"363",180048816,"5D","Anti-Other Ethnicity","Vandalism","Individual(s)",2018
"364",190034718,"5D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"365",16019492,"5D","Anti-Multi-Racial","Flyer Left Behind","Individual(s)",2016
"366",190002042,"4D","Anti-Multi-Racial","Vandalism","School/College",2019
"367",190058606,"4D","Anti-Jewish","Vandalism","School/College",2019
"368",190033899,"4D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"369",180025325,"4D","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2018
"370",190010757,"4D","Anti-Black","Vandalism","School/College",2019
"371",180054970,"4D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Individual(s)",2018
"372",17009753,"5D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2017
"373",180025757,"6D","Anti-Homosexual","Vandalism","Individual(s)",2018
"374",17016212,"1D","Anti-Black","Vandalism","School/College",2017
"375",16059730,"3D","Anti-Jewish","Vandalism","Individual(s)",2016
"376",190049032,"5D","Anti-Black","Other","Society",2019
"377",190010572,"4D","Anti-Black","Written Intimidation/Simple Assault","School/College",2019
"378",170500969,"1D","Anti-Multi-Racial","Flyer Left Behind","Society",2017
"379",16059494,"1D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"380",200000380,"TPPD","Anti-Homosexual","Vandalism","Individual(s)",2020
"381",16061405,"1D","Anti-Jewish","Vandalism","School/College",2016
"382",190042422,"6D","Anti-Jewish","Vandalism","Society",2019
"383",170534673,"4D","Anti-Black","Assault (physical)","Individual(s)",2017
"384",16058195,"2D","Anti-Jewish","Vandalism","School/College",2016
"385",170521486,"3D","Anti-Hispanic","Assault (physical)","Individual(s)",2017
"386",190058610,"5D","Anti-Black","Vandalism","School/College",2019
"387",180045932,"4D","Anti-Black","Assault (physical)","Individual(s)",2018
"388",16048796,"2D","Anti-Transgender","Assault (physical)","Individual(s)",2016
"389",190061126,"4D","Anti-Black","Assault (physical)","Individual(s)",2019
"390",190057278,"2D","Anti-Jewish","Vandalism","School/College",2019
"391",16060360,"4D","Anti-Hispanic","Assault (physical)","Individual(s)",2016
"392",170509521,"6D","Anti-Black","Vandalism","School/College",2017
"393",180040663,"4D","Anti-Hispanic","Assault (physical)","Individual(s)",2018
"394",16037478,"1D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2016
"395",16037182,"2D","Anti-Hispanic","Assault (physical)","Individual(s)",2016
"396",190057974,"4D","Anti-Black","Vandalism","School/College",2019
"397",170526290,"3D","Anti-Islamic","Verbal Intimidation/Simple Assault","Individual(s)",2017
"398",180059646,"3D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2018
"399",170515971,"3D","Anti-Black","Vandalism","Individual(s)",2017
"400",190001026,"RCPD","Anti-Catholic","Vandalism","Religious Organization",2019
"401",170521739,"GCPD","Anti-Hispanic","Assault (physical)","Individual(s)",2017
"402",17002238,"3D","Anti-Jewish","Vandalism","School/College",2017
"403",170543121,"4D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"404",180031107,"3D","Anti-Black","Vandalism","Religious Organization",2018
"405",190029874,"2D","Anti-Black","Vandalism","Business/Financial Institution",2019
"406",16026270,"TPPD","Anti-White","Verbal Intimidation/Simple Assault","Individual(s)",2016
"407",180022825,"4D","Anti-Homosexual","Vandalism","School/College",2018
"408",170548729,"6D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2017
"409",180062542,"2D","Anti-Black","Other","School/College",2018
"410",190012119,"TPPD","Anti-Asian","Verbal Intimidation/Simple Assault","Society",2019
"411",190018079,"RCPD","Anti-Black","Assault (simple)","Individual(s)",2019
"412",190020981,"5D","Anti-Black","Vandalism","Society",2019
"413",170526194,"GCPD","Anti-Asian","Vandalism","Government",2017
"414",200006187,"2D","Anti-Jewish","Vandalism","School/College",2020
"415",16024967,"3D","Anti-Jewish","Flyer Left Behind","Individual(s)",2016
"416",200001377,"2D","Anti-Homosexual","Verbal Intimidation/Simple Assault","Society",2020
"417",16036103,"1D","Anti-Black","Vandalism","Government",2016
"418",190056339,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"419",190038139,"2D","Anti-Homosexual","Vandalism","Individual(s)",2019
"420",190056404,"RCPD","Anti-Black","Verbal Intimidation/Simple Assault","Society",2019
"421",170516427,"2D","Anti-Asian","Verbal Intimidation/Simple Assault","Individual(s)",2017
"422",180016500,"4D","Anti-Black","Vandalism","School/College",2018
"423",190049765,"TPPD","Anti-Black","Vandalism","Government",2019
"424",16060209,"2D","Anti-Jewish","Vandalism","School/College",2016
"425",170514643,"4D","Anti-Black","Physical Intimidation/Simple Assault","Society",2017
"426",170502163,"1D","Anti-Homosexual","Assault (physical)","Individual(s)",2017
"427",180031855,"3D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2018
"428",180054204,"3D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Individual(s)",2018
"429",16065054,"2D","Anti-Multi-Racial","Vandalism","Religious Organization",2016
"430",190013600,"5D","Anti-Islamic","Vandalism","Individual(s)",2019
"431",170514215,"3D","Anti-Black","Vandalism","Individual(s)",2017
"432",16054366,"4D","Anti-Homosexual","Assault (physical)","Individual(s)",2016
"433",200003575,"2D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2020
"434",190054013,"6D","Anti-Black","Vandalism","Individual(s)",2019
"435",190059858,"RCPD","Anti-Black","Verbal Intimidation/Simple Assault","Business/Financial Institution",2019
"436",170530867,"6D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"437",180017177,"4D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2018
"438",180027544,"GCPD","Anti-White","Assault (physical)","Individual(s)",2018
"439",180055692,"2D","Anti-Jewish","Verbal Intimidation/Simple Assault","Religious Organization",2018
"440",16035635,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"441",190021692,"6D","Anti-Homosexual","Assault (physical)","Individual(s)",2019
"442",17014825,"6D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2017
"443",16066413,"6D","Anti-Hispanic","Verbal Intimidation/Simple Assault","Individual(s)",2016
"444",180023857,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2018
"445",190022915,"2D","Anti-Jewish","Vandalism","School/College",2019
"446",16035697,"4D","Anti-Jewish","Verbal Intimidation/Simple Assault","Individual(s)",2016
"447",17013994,"6D","Anti-Black","Assault (physical)","Individual(s)",2017
"448",200007854,"4D","Anti-Black","Vandalism","Society",2020
"449",180003892,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2018
"450",17016633,"1D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2017
"451",180064275,"RCPD","Anti-Black","Written Intimidation/Simple Assault","School/College",2018
"452",190023313,"2D","Anti-Jewish","Vandalism","School/College",2019
"453",16020631,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2016
"454",170512466,"2D","Anti-Jewish","Vandalism","School/College",2017
"455",17014459,"1D","Anti-Jewish","Vandalism","School/College",2017
"456",190004111,"RCPD","Anti-Catholic","Vandalism","Religious Organization",2019
"457",190006643,"2D","Anti-Black","Display of Noose","Business/Financial Institution",2019
"458",180040392,"2D","Anti-Black","Vandalism","Individual(s)",2018
"459",190016883,"4D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2019
"460",16027958,"5D","Anti-Islamic","Assault (physical)","Individual(s)",2016
"461",170510497,"1D","Anti-Jewish","Vandalism","School/College",2017
"462",190051237,"4D","Anti-Multi-Racial","Flyer Left Behind","Society",2019
"463",16024255,"TPPD","Anti-Jewish","Vandalism","Individual(s)",2016
"464",170513795,"6D","Anti-Black","Physical Intimidation/Simple Assault","Society",2017
"465",16032044,"6D","Anti-Multi-Religious Group","Vandalism","Government",2016
"466",170524634,"1D","Anti-Islamic","Assault (physical)","Individual(s)",2017
"467",190023546,"5D","Anti-Jewish","Vandalism","School/College",2019
"468",170522548,"5D","Anti-Homosexual","Written Intimidation/Simple Assault","Individual(s)",2017
"469",16048388,"4D","Anti-Jewish","Written Intimidation/Simple Assault","Individual(s)",2016
"470",17005568,"4D","Anti-Islamic","Verbal Intimidation/Simple Assault","Individual(s)",2017
"471",16019138,"5D","Anti-Hispanic","Written Intimidation/Simple Assault","Individual(s)",2016
"472",200014771,"6D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2020
"473",170512854,"GCPD","Anti-Jewish","Vandalism","Society",2017
"474",190013820,"2D","Anti-Black","Verbal Intimidation/Simple Assault","Individual(s)",2019
"475",190008048,"1D","Anti-Gender Non-Conforming","Verbal Intimidation/Simple Assault","Individual(s)",2019
"476",190012351,"5D","Anti-Black","Written Intimidation/Simple Assault","Individual(s)",2019
